 ,,,,,,,,
PROGRAMAÇÃO DE CONTAS A PAGAR,,,,,,,,
10/01/2023,CHEQUE NIVALDO 238,FM,"R$ 1.900,00",,,,,
10/01/2023,CARTÃO VISA GOLD,PESSOAL,"R$ 3.903,41",,,,,
10/01/2023,EMBULED 2/5 - 11595,ML,"R$ 1.207,73",,,,,
10/01/2023,BRONZEARTE 56222 04/06,FM,"R$ 865,83",,,,,
10/01/2023,ARMARINHO 189028 2/5,FM,"R$ 1.422,95",,,,,
10/01/2023,VANCOUVER (CANADÁ SEGURANÇA),FM,"R$ 250,00",,,,,
10/01/2023,SORTE LUZ 38843 3/6,FM ,"R$ 1.807,46",,,,,
10/01/2023,ONNEWEB ,FM,"R$ 200,00",,,,,
10/01/2023,CONDOMINIO SR FERNANDO,PESSOAL,"R$ 1.499,14",,,,,
10/01/2023,TOP SAT,PESSOAL,"R$ 50,00",,,,,
10/01/2023,RECARGA GABRIEL ,FM,"R$ 40,00",,,,,
10/01/2023,BRONZEARTE 557432 4/5,FM,"R$ 717,60",,,,,
,,,,,,,,
,,,"R$ 13.864,12",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PROGRAMAÇÃO DE CONTAS A PAGAR,,,,,,,,
12/01/2023,HOLANDAS PRIME DUPLICATA,FM,"R$ 167,50",,,,,
12/01/2023,JOANA,PESSOAL,"R$ 3.965,00",,,,,
12/01/2023,ASSESSORIA JURITICA ,FM / ML,"R$ 1.000,00",,,,,
12/01/2023,"GOOGLE, INSTAGRAM E FACEBOOK ",FM,"R$ 850,00",,,,,
12/01/2023,BLUMENAU 8/9,ML,"R$ 757,31",,,,,
,,,,,,,,
,,,"R$ 6.739,81",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PROGRAMAÇÃO DE CONTAS A PAGAR,,,,,,,,
12/01/2023,HOLANDAS PRIME DUPLICATA,FM,"R$ 167,50",,,,,
12/01/2023,JOANA,PESSOAL,"R$ 3.965,00",,,,,
12/01/2023,ASSESSORIA JURITICA ,FM / ML,"R$ 1.000,00",,,,,
12/01/2023,"GOOGLE, INSTAGRAM E FACEBOOK ",FM,"R$ 850,00",,,,,
12/01/2023,BLUMENAU 8/9,ML,"R$ 757,31",,,,,
13/01/2023,BRONZEARTE 557432 04/05,ML,"R$ 717,60",,,,,
13/01/2023,COMERCIO ELETRICA 122 2/7,ML,"R$ 565,71",,,,,
13/01/2023,OESTE COMERCIO 122 2/7,ML,"R$ 834,29",,,,,
